finger_id,finger,motor_raw,angle_x_root,angle_x_tip,angle_joint2
1b,拇指侧摆 (thumb_abd),135,-3.3417,-2.2126,1.1291
1b,拇指侧摆 (thumb_abd),150,0.994,1.6315,0.6375
1b,拇指侧摆 (thumb_abd),165,5.0454,5.3552,0.3098
1b,拇指侧摆 (thumb_abd),180,9.1799,9.3432,0.1633
1b,拇指侧摆 (thumb_abd),195,13.4992,13.2005,-0.2987
1b,拇指侧摆 (thumb_abd),210,17.8095,17.1744,-0.6351
1b,拇指侧摆 (thumb_abd),225,22.4271,21.4539,-0.9732
1b,拇指侧摆 (thumb_abd),240,26.6988,25.6401,-1.0587
1b,拇指侧摆 (thumb_abd),255,30.7587,29.6517,-1.1071
2,食指 (index),0,-52.2213,-168.139,-115.9177
2,食指 (index),15,-47.4616,-159.4508,-111.9892
2,食指 (index),30,-42.3112,-150.3436,-108.0324
2,食指 (index),45,-36.7769,-140.6769,-103.9
2,食指 (index),60,-30.7309,-129.8401,-99.1092
2,食指 (index),75,-24.8863,-119.2194,-94.3331
2,食指 (index),90,-19.2555,-108.827,-89.5715
2,食指 (index),105,-13.8928,-98.792,-84.8992
2,食指 (index),120,-8.6261,-88.8157,-80.1896
2,食指 (index),135,-3.3765,-78.7426,-75.3662
2,食指 (index),150,2.4517,-67.3513,-69.803
2,食指 (index),165,8.2428,-55.918,-64.1608
2,食指 (index),180,13.8541,-44.6086,-58.4627
2,食指 (index),195,18.9467,-33.0947,-52.0414
2,食指 (index),210,23.2429,-22.7041,-45.947
2,食指 (index),225,27.8698,-12.6731,-40.543
2,食指 (index),240,33.0913,-2.2198,-35.3111
2,食指 (index),255,36.804,4.9029,-31.9011
3,中指 (middle),0,-53.1449,-168.1591,-115.0142
3,中指 (middle),15,-49.1521,-159.7092,-110.5571
3,中指 (middle),30,-43.9979,-150.5897,-106.5918
3,中指 (middle),45,-38.879,-141.3632,-102.4842
3,中指 (middle),60,-33.4843,-130.9588,-97.4745
3,中指 (middle),75,-27.2957,-120.0701,-92.7744
3,中指 (middle),90,-21.8072,-109.4536,-87.6464
3,中指 (middle),105,-16.2894,-99.1133,-82.8239
3,中指 (middle),120,-10.9596,-89.1166,-78.157
3,中指 (middle),135,-5.7076,-79.1804,-73.4728
3,中指 (middle),150,-0.2734,-68.4572,-68.1838
3,中指 (middle),165,5.685,-56.5256,-62.2107
3,中指 (middle),180,11.5904,-44.8419,-56.4323
3,中指 (middle),195,17.3285,-33.4956,-50.8241
3,中指 (middle),210,22.7663,-22.9845,-45.7508
3,中指 (middle),225,28.139,-12.9369,-41.0759
3,中指 (middle),240,33.2631,-2.5415,-35.8046
3,中指 (middle),255,38.5079,7.2753,-31.2325
4,无名指 (ring),0,-51.9496,-167.5145,-115.5649
4,无名指 (ring),15,-47.4871,-158.8586,-111.3715
4,无名指 (ring),30,-42.5416,-150.1105,-107.5689
4,无名指 (ring),45,-37.2844,-140.7541,-103.4697
4,无名指 (ring),60,-31.6909,-130.6319,-98.941
4,无名指 (ring),75,-25.7855,-119.6745,-93.889
4,无名指 (ring),90,-19.9691,-109.0485,-89.0794
4,无名指 (ring),105,-14.4575,-99.2007,-84.7432
4,无名指 (ring),120,-8.4862,-89.3822,-80.8961
4,无名指 (ring),135,-2.8034,-79.1154,-76.312
4,无名指 (ring),150,2.6403,-68.2953,-70.9356
4,无名指 (ring),165,8.3666,-56.5793,-64.9459
4,无名指 (ring),180,14.9061,-44.5668,-59.4729
4,无名指 (ring),195,20.3824,-33.7199,-54.1024
4,无名指 (ring),210,25.9519,-23.5297,-49.4815
4,无名指 (ring),225,31.0949,-13.6047,-44.6996
4,无名指 (ring),240,35.5381,-3.5159,-39.054
4,无名指 (ring),255,38.6984,5.33,-33.3683
5,小指 (pinky),0,-52.1673,-167.5606,-115.3933
5,小指 (pinky),15,-47.4385,-159.005,-111.5665
5,小指 (pinky),30,-41.9764,-149.4969,-107.5205
5,小指 (pinky),45,-35.5253,-139.0037,-103.4784
5,小指 (pinky),60,-29.957,-129.1748,-99.2178
5,小指 (pinky),75,-24.5581,-119.0113,-94.4532
5,小指 (pinky),90,-19.2486,-109.0293,-89.7807
5,小指 (pinky),105,-14.0942,-99.4698,-85.3756
5,小指 (pinky),120,-8.6058,-89.1471,-80.5413
5,小指 (pinky),135,-2.407,-77.7607,-75.3537
5,小指 (pinky),150,4.0399,-66.4868,-70.5267
5,小指 (pinky),165,9.7277,-55.3412,-65.0689
5,小指 (pinky),180,15.4568,-44.1881,-59.6449
5,小指 (pinky),195,21.1606,-33.6329,-54.7935
5,小指 (pinky),210,26.443,-23.063,-49.506
5,小指 (pinky),225,31.636,-11.7677,-43.4037
5,小指 (pinky),240,37.1369,-0.1883,-37.3251
5,小指 (pinky),255,39.9837,5.4193,-34.5644
